name,symbol,slug,infinite_supply,circulating_supply,total_supply,max_supply,date_added,num_market_pairs,cmc_rank,last_updated,tvl_ratio,platform,self_reported_circulating_supply,self_reported_market_cap,minted_market_cap,tags,quote.USD.price,quote.USD.volume_24h,quote.USD.cex_volume_24h,quote.USD.dex_volume_24h,quote.USD.volume_change_24h,quote.USD.percent_change_1h,quote.USD.percent_change_24h,quote.USD.percent_change_7d,quote.USD.percent_change_30d,quote.USD.percent_change_60d,quote.USD.percent_change_90d,quote.USD.market_cap,quote.USD.market_cap_dominance,quote.USD.fully_diluted_market_cap,quote.USD.tvl,quote.USD.last_updated,platform.id,platform.slug,platform.name,platform.symbol,platform.token_address,Timestamp,id
BNB,BNB,bnb,False,134783444.68,134783444.68,134783445.31,2017-07-25T00:00:00.000Z,3280,4,2026-06-20T06:15:00.000Z,,,,,78596630285.86,"['marketplace', 'centralized-exchange', 'payments', 'smart-contracts', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'bnb-chain-ecosystem', 'layer-1', 'alleged-sec-securities', 'celsius-bankruptcy-estate', 'binance-ecosystem', 'binance-listing', 'etherlink-ecosystem', 'made-in-china']",583.132672357948,870130082.5184295,847878185.2171378,22251897.30129144,-17.3668,-0.01111807,1.20424538,-2.88409892,-10.50421079,-7.53518795,-7.83024309,78596630285.85805,3.5949,78596630653.23,,2026-06-20T06:15:00.000Z,,,,,,2026-06-20 11:46:07.061790,
BNB,BNB,bnb,False,134783442.16,134783442.16,134783443.0,2017-07-25T00:00:00.000Z,3280,4,2026-06-20T07:42:00.000Z,,,,,79197721782.65,"['marketplace', 'centralized-exchange', 'payments', 'smart-contracts', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'bnb-chain-ecosystem', 'layer-1', 'alleged-sec-securities', 'celsius-bankruptcy-estate', 'binance-ecosystem', 'binance-listing', 'etherlink-ecosystem', 'made-in-china']",587.5923667881532,876545423.4017104,853873520.3067336,22671903.09497701,-15.7429,0.12232846,2.56854088,-2.51211347,-9.79421013,-7.29730329,-7.19301239,79197721782.64854,3.6181,79197722276.23,,2026-06-20T07:42:00.000Z,,,,,,2026-06-20 13:14:15.376121,1839.0
BNB,BNB,bnb,False,134783443.0,134783443.0,134783443.0,2017-07-25T00:00:00.000Z,3280,4,2026-06-20T07:30:00.000Z,,,,,79265623290.6,"['marketplace', 'centralized-exchange', 'payments', 'smart-contracts', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'bnb-chain-ecosystem', 'layer-1', 'alleged-sec-securities', 'celsius-bankruptcy-estate', 'binance-ecosystem', 'binance-listing', 'etherlink-ecosystem', 'made-in-china']",588.0961453892838,878005584.261627,855427065.8625531,22578518.39907397,-15.6755,0.33033615,2.419469,-2.43876142,-9.65626111,-7.16658532,-7.25022062,79265623290.59625,3.6205,79265623849.29,,2026-06-20T07:30:00.000Z,,,,,,2026-06-20 13:02:28.296215,1839.0
BNB,BNB,bnb,False,134783438.64,134783438.64,134783440.37,2017-07-25T00:00:00.000Z,3280,4,2026-06-20T09:14:00.000Z,,,,,78968791651.42,"['marketplace', 'centralized-exchange', 'payments', 'smart-contracts', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'bnb-chain-ecosystem', 'layer-1', 'alleged-sec-securities', 'celsius-bankruptcy-estate', 'binance-ecosystem', 'binance-listing', 'etherlink-ecosystem', 'made-in-china']",585.8938787156599,871425377.2635931,848354047.0610553,23071330.20253783,-16.2327,-0.02698875,2.4398645,-2.91032579,-10.48533013,-7.90729622,-7.18663358,78968791651.42375,3.6152,78968792665.02,,2026-06-20T09:14:00.000Z,,,,,,2026-06-20 14:45:06.204267,1839.0
BNB,BNB,bnb,False,134783442.16,134783442.16,134783442.16,2017-07-25T00:00:00.000Z,3280,4,2026-06-20T08:04:00.000Z,,,,,79066636832.33,"['marketplace', 'centralized-exchange', 'payments', 'smart-contracts', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'bnb-chain-ecosystem', 'layer-1', 'alleged-sec-securities', 'celsius-bankruptcy-estate', 'binance-ecosystem', 'binance-listing', 'etherlink-ecosystem', 'made-in-china']",586.6198070418043,870432082.3371727,847572630.7131358,22859451.62403651,-16.2531,0.05934026,2.24046472,-2.66024918,-10.1811457,-7.34847388,-7.10610073,79066636832.32939,3.613,79066636832.33,,2026-06-20T08:04:00.000Z,,,,,,2026-06-20 13:35:33.462861,1839.0
BNB,BNB,bnb,False,134783443.0,134783443.0,134783443.0,2017-07-25T00:00:00.000Z,3280,4,2026-06-20T07:34:00.000Z,,,,,79266318856.76,"['marketplace', 'centralized-exchange', 'payments', 'smart-contracts', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'bnb-chain-ecosystem', 'layer-1', 'alleged-sec-securities', 'celsius-bankruptcy-estate', 'binance-ecosystem', 'binance-listing', 'etherlink-ecosystem', 'made-in-china']",588.1013060095304,879553406.034278,856938069.6977324,22615336.33654512,-15.4252,0.37029551,2.41567332,-2.40807842,-9.66213007,-7.0863059,-7.21018837,79266318856.7611,3.6205,79266318856.76,,2026-06-20T07:34:00.000Z,,,,,,2026-06-20 13:05:40.913408,1839.0
BNB,BNB,bnb,False,134783441.38,134783441.38,134783442.16,2017-07-25T00:00:00.000Z,3280,4,2026-06-20T08:23:00.000Z,,,,,79024631079.77,"['marketplace', 'centralized-exchange', 'payments', 'smart-contracts', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'bnb-chain-ecosystem', 'layer-1', 'alleged-sec-securities', 'celsius-bankruptcy-estate', 'binance-ecosystem', 'binance-listing', 'etherlink-ecosystem', 'made-in-china']",586.3081567784684,867941128.7234116,844961617.1314306,22979511.59198107,-16.4259,-0.05462753,2.12436032,-2.78752907,-10.46517058,-7.50176892,-6.98438943,79024631079.76654,3.6177,79024631537.09,,2026-06-20T08:23:00.000Z,,,,,,2026-06-20 13:54:47.369495,1839.0
BNB,BNB,bnb,False,134783441.38,134783441.38,134783442.16,2017-07-25T00:00:00.000Z,3280,4,2026-06-20T08:22:00.000Z,,,,,79036174179.29,"['marketplace', 'centralized-exchange', 'payments', 'smart-contracts', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'bnb-chain-ecosystem', 'layer-1', 'alleged-sec-securities', 'celsius-bankruptcy-estate', 'binance-ecosystem', 'binance-listing', 'etherlink-ecosystem', 'made-in-china']",586.3937986006944,867962507.1888744,845026260.8181353,22936246.37073929,-16.424,-0.01658021,2.16542085,-2.77243049,-10.44365073,-7.48704966,-6.96093024,79036174179.29222,3.6182,79036174636.68,,2026-06-20T08:22:00.000Z,,,,,,2026-06-20 13:53:42.878268,1839.0
BNB,BNB,bnb,False,134783442.16,134783442.16,134783443.0,2017-07-25T00:00:00.000Z,3280,4,2026-06-20T08:00:00.000Z,,,,,79087239359.77,"['marketplace', 'centralized-exchange', 'payments', 'smart-contracts', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'bnb-chain-ecosystem', 'layer-1', 'alleged-sec-securities', 'celsius-bankruptcy-estate', 'binance-ecosystem', 'binance-listing', 'etherlink-ecosystem', 'made-in-china']",586.7726635582662,871498260.8145481,848716580.6846976,22781680.12984993,-16.4119,-0.01324916,2.20481455,-2.68024293,-10.03234629,-7.32246064,-7.18409661,79087239359.77472,3.6139,79087239852.66,,2026-06-20T08:00:00.000Z,,,,,,2026-06-20 13:31:17.128624,1839.0
BNB,BNB,bnb,False,134783443.0,134783443.0,134783443.95,2017-07-25T00:00:00.000Z,3280,4,2026-06-20T07:29:00.000Z,,,,,79257366218.65,"['marketplace', 'centralized-exchange', 'payments', 'smart-contracts', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'bnb-chain-ecosystem', 'layer-1', 'alleged-sec-securities', 'celsius-bankruptcy-estate', 'binance-ecosystem', 'binance-listing', 'etherlink-ecosystem', 'made-in-china']",588.0348836218279,877961001.8532939,855399280.2935239,22561721.55977037,-15.6874,0.31230004,2.3922043,-2.4189473,-9.65615434,-7.15956185,-7.27776197,79257366218.65428,3.6221,79257366777.29,,2026-06-20T07:29:00.000Z,,,,,,2026-06-20 13:01:24.094828,1839.0
